201,Mt,Mt,Jézus Krisztus evangéliuma Máté szerint,,
202,Mk,Mk,Jézus Krisztus evangéliuma Márk szerint,,
203,Lk,Lk,Jézus Krisztus evangéliuma Lukács szerint,,
204,Jn,Jn,Jézus Krisztus evangéliuma szent János szerint,,
205,ApCsel,ApCsel,Az Apostolok Cselekedetei,,
206,Róm,Rom,Pál apostol levele a rómaiakhoz,,
207,1Kor,1Kor,Pál apostol első levele a korintusiakhoz,,
208,2Kor,2Kor,Pál apostol második levele a korintusiakhoz,,
209,Gal,Gal,Pál apostol levele a galatákhoz,,
210,Ef,Ef,Pál apostol levele az efezusiakhoz,,
211,Fil,Fil,Pál apostol levele a filippiekhez,,
212,Kol,Kol,Pál apostol levele a kolosszeiekhez,,
213,1Tessz,1Tessz,Pál apostol első levele a tesszalonikaiakhoz,,
214,2Tessz,2Tessz,Pál apostol második levele a tesszalonikaiakhoz,,
215,1Tim,1Tim,Pál apostol első levele Timóteushoz,,
216,2Tim,2Tim,Pál apostol második levele Timóteushoz,,
217,Tit,Tit,Pál apostol levele Tituszhoz,,
218,Filem,Filem,Pál apostol levele Filemonhoz,,
219,Zsid,Zsid,Pál apostol leleve a zsidókhoz,,
220,Jak,Jak,Jakab apostol levele,,
221,1Pét,1Pet,Péter apostol első levele,,
222,2Pét,2Pet,Péter apostol második levele,,
223,1Ján,1Jan,János apostol első levele,,
224,2Ján,2Jan,János apostol második levele,,
225,3Ján,3Jan,János apostol harmadik levele,,
226,Júd,Jud,Júdás apostol levele,,
227,Jel,Jel,János apostol Jelenéseinek Könyve,,